alphabet_size,depth,complexity,rule_set,target,count_order_z3_status,count_order_z3_time,count_order_z3_rule_set,count_order_jump_status,count_order_jump_time,count_order_jump_rule_set,
3,3,6,[0 -> [2 2 1]; 1 -> [3 1 1]; 2 -> [3]; 3 -> [1 3 1];],[3 1 1 1 3 1 3 1 1 3 1 1 1 3 1 3 1 1 3 1 1 1 3 1 3 1 1 1 3 1 3 1 1 3 1 1 1 3 1 3 1 1 3 1 1],UNSAT_TIMEOUT,90.3026,[],SAT,81.8313,[],
3,3,6,[0 -> [1 1 2]; 1 -> [2 3]; 2 -> [2 2 2 3]; 3 -> [2];],[2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 3],UNSAT_TIMEOUT,90.3909,[],SAT,17.7741,[],
3,3,6,[0 -> [3 1 2 3]; 1 -> [2 1]; 2 -> [1 1]; 3 -> [2 3];],[2 1 2 1 1 1 2 3 2 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 2 1 2 1 1 1 2 3],SAT,70.5571,[],UNSAT_TIMEOUT,93.5161,[],
3,3,6,[0 -> [1 2 3]; 1 -> [3 3 2 1]; 2 -> [1]; 3 -> [3 1];],[3 1 3 3 2 1 3 1 3 3 2 1 3 3 2 1 3 1 3 1 1 3 3 2 1 3 1 3 1 1 3 3 2 1 3 1 3 3 2 1 3 1 3 1 1 3 3 2 1],UNSAT_TIMEOUT,90.4264,[],SAT,45.4927,[],
3,3,6,[0 -> [1 1]; 1 -> [2]; 2 -> [3 2 3]; 3 -> [1 3 1 1];],[1 3 1 1 3 2 3 1 3 1 1 1 3 1 1 3 2 3 1 3 1 1],SAT,3.94228,[],SAT,6.679,[],
3,3,6,[0 -> [1]; 1 -> [1 2 2]; 2 -> [3 3 1 2]; 3 -> [2 2];],[1 2 2 3 3 1 2 3 3 1 2 2 2 2 2 1 2 2 3 3 1 2 2 2 2 2 1 2 2 3 3 1 2],UNSAT_TIMEOUT,90.4529,[],SAT,42.1273,[],
3,3,6,[0 -> [3]; 1 -> [2 3]; 2 -> [1 3]; 3 -> [3 2 1 2 1];],[3 2 1 2 1 1 3 2 3 1 3 2 3 2 3 3 2 1 2 1 1 3 3 2 1 2 1 2 3 3 2 1 2 1 1 3 3 2 1 2 1],SAT,58.0682,[],SAT,17.0199,[],
3,3,6,[0 -> [1 1 1 2]; 1 -> [3]; 2 -> [1 2]; 3 -> [3 3 3];],[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 2],SAT,13.0748,[],SAT,3.64821,[],
3,3,6,[0 -> [3]; 1 -> [1 1 3]; 2 -> [1 2 3]; 3 -> [2 3 3];],[1 1 3 1 2 3 2 3 3 1 2 3 2 3 3 2 3 3 1 2 3 2 3 3 2 3 3],SAT,26.8767,[],SAT,72.6578,[],
3,3,6,[0 -> [1 1]; 1 -> [3 1]; 2 -> [3 3]; 3 -> [1 1 2 2];],[3 1 3 1 3 3 3 3 1 1 2 2 3 1 3 1 3 1 3 3 3 3 1 1 2 2 3 1],SAT,40.5463,[],SAT,34.7368,[],
